식당명,평점,카테고리
성심당본점,4.6 (240명),"빵,튀김소보로"
태평소국밥본점,4.6 (91명),"국밥,육사시미"
성심당 케익부띠끄대전,4.8 (103명),"케이크,딸기"
성심당대전역점,4.5 (94명),"빵,튀김소보로"
성심당DCC점,4.5 (103명),"빵,딸기"
태평소국밥봉명점,4.4 (74명),"국밥,육사시미"
오씨칼국수본점,4.5 (86명),"칼국수,조개"
땡큐베리머치대전,4.7 (66명),"케이크,카페"
태평소국밥대전,4.6 (58명),"국밥,육사시미"
김화칼국수대전,4.5 (53명),"칼국수,수육"
진로집대전,4.4 (67명),"두부두루치기,수육"
성심당롯데백화점대전점,4.6 (57명),"빵,딸기"
떡반집본점,4.6 (39명),"떡볶이,토스트"
동은성대전,4.8 (22명),냄비짬뽕
온천칼국수대전,4.4 (38명),"칼국수,쭈꾸미"
오문창 순대국밥대전,4.3 (57명),"국밥,순대국밥"
대선칼국수본점,4.2 (55명),"칼국수,수육"
토미야대전,4.6 (37명),"우동,붓카케우동"
희락반점대전,4.4 (13명),"짜장면,유니짜장"
오씨칼국수도룡점,4.4 (42명),"칼국수,물총칼국수"
천리집대전,4.2 (37명),"순대국,순대"
공주칼국수괴정동,4.4 (37명),"칼국수,쭈꾸미"
광천식당대전,3.9 (102명),"두부두루치기,수육"
투웨이버거대전,4.9 (16명),"수제버거,버거"
정동문화사대전,4.5 (28명),"디저트,휘낭시에"
Ato대전,4.7 (19명),"이자카야,고등어봉초밥"
태평소국밥둔산점,4.4 (40명),"국밥,육사시미"
별난집대전,4.2 (25명),"두부두루치기,녹두지짐"
한영식당대전,4.0 (32명),닭볶음탕
개천식당대전역,4.0 (40명),"만두국,이북식만두"
숯골원냉면대전,4.0 (50명),"평양냉면,냉면"
태평소국밥대전,4.6 (13명),"국밥,육사시미"
유성옥도룡점,4.5 (14명),"곰탕,수육전골"
반찬식당보문산,4.6 (27명),"보리밥,호떡"
고단백식당대전,4.4 (17명),"콩국수,검은콩국수"
파셀샌드위치바대전,4.9 (8명),"샌드위치,빵"
치앙마이방콕대전,4.4 (28명),"태국음식,팟타이"
와타요업대전,4.2 (40명),"텐동,튀김"
학짬뽕대전점,4.7 (14명),"짬뽕,중국집"
마천취만년동,4.9 (9명),"짜장면,중식당"
태화장대전,4.2 (26명),"중식,멘보샤"
소신대전,4.5 (27명),"디저트,파티세리"
하레하레대전,4.4 (17명),빵
요우란대전,4.7 (26명),"텐동,튀김"
버기즈탄방점,4.5 (18명),"수제버거,버거"
만화쉔 샤오룽빠오 면식관대전유성,4.7 (16명),"딤섬,샤오롱바오"
천복순대국밥대전,4.2 (20명),"국밥,순대국밥"
작교대전,4.9 (9명),"술집,전통주"
마시기통차유성,4.4 (10명),한식
싶빵공장둔산월평직영점,4.9 (9명),"베이커리,크루아상"
바로그집대전,3.7 (41명),"떡볶이,아이스크림떡"
둥지톳밥대전,4.9 (7명),"톳밥,백반"
스시쿠루마대전,4.5 (15명),스시
한우곰탕전민동,4.3 (24명),"곰탕,한우곰탕"
롤라 Lolla대청호,4.5 (19명),브런치카페
잇마이타이유성온천역,4.5 (22명),"태국음식,뿌팟퐁커리"
킨토토대전점,4.4 (30명),"마제소바,수제돈까스"
스모프치킨대전,4.6 (14명),"치킨,간장치킨"
아자자야채치킨대전서구,4.7 (9명),"치킨,야채튀김"
월산본가대전,4.4 (19명),"석갈비,갈비탕"
슬리피타운대전둔산동,4.7 (19명),"휘낭시에,카페"
일당유성 1호점,4.1 (34명),"감자탕,뼈다귀탕"
매봉식당대덕구,4.1 (13명),"두부전골,삼계탕"
테라스키친대전,4.4 (33명),"돈까스,오므라이스"
유성불백대전,4.4 (22명),"김치찌개,불백"
헤이스팅스탄방동,4.5 (18명),"파스타,양식"
맛집 부추해물칼국수신탄진,4.2 (20명),"칼국수,쭈꾸미"
서원골유황오리유성점,4.4 (15명),"오리고기,오리탕"
스바라시대전,4.3 (33명),"라멘,차슈"
그린베이커리대전,4.6 (10명),"빵,에그타르트"
피제리아 다알리대전,4.5 (16명),"화덕피자,피자"
번앤베럴 버거하우스대전신세계백화점,4.3 (7명),수제버거
명랑식당대전,4.2 (6명),"육개장,배추김치"
에이트대전,4.2 (33명),"카페,베이커리"
대포조개전골대전월평동,4.9 (10명),"조개찜,조개전골"
바르다김선생대전시청점,4.6 (11명),"김밥,갈비만두"
리셉션대전,4.7 (17명),"카페,커피"
미소본가스마일칼국수대전,3.9 (25명),"칼국수,김밥"
대동순대대전,4.7 (9명),"막창순대,순대"
구들마루대전,4.7 (13명),"곱창전골,소곱창전골"
봉달이명품김밥둔산점,4.7 (7명),"김밥,야채김밥"
곳간집대전,4.7 (11명),"디저트,딸기"
1974비래옥본점,4.6 (15명),"곰탕,육회비빔밥"
빵 한모금대전,4.6 (15명),"빵,파이"
대청얼큰오징어찌개도룡점,4.7 (6명),"오징어,오징어찌개"
아메리칸치즈버거대전,4.8 (6명),"수제버거,아메리칸치즈버거"
반찬호떡대전,4.7 (11명),"카페,라떼"
동원 손칼국수대전,4.5 (14명),"칼국수,두부두루치기"
우츠대전,4.6 (16명),"돈까스,특등심"
진주냉면 이설옥대전중구,4.5 (6명),"육회비빔밥,냉면"
대추나무칼국수대전,4.8 (6명),"칼국수,두부두루치기"
모선대전,4.7 (15명),"연어,일식당"
뼈먹자 얼큰한 뼈해장국대전,4.6 (11명),"감자탕,뼈해장국"
대전통닭본점,4.4 (11명),"치킨,숯불치킨"
떡반집대전,5.0 (7명),"떡볶이,떡"
맛찬들왕소금구이대전봉명점,4.7 (16명),"삼겹살,돌솥밥"
타이허브대전,4.8 (4명),"팟타이,뿌팟퐁커리"
미세노센세대전,4.4 (23명),"카레,일본식카레"
미진대전,4.0 (18명),"소바,메밀소바"
쌍리대전,4.6 (5명),"커피,핸드드립"
