행정구역,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,2024년03월_총인구수,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율,2024년04월_총인구수,2024년04월_세대수,2024년04월_세대당 인구,2024년04월_남자 인구수,2024년04월_여자 인구수,2024년04월_남여 비율,2024년05월_총인구수,2024년05월_세대수,2024년05월_세대당 인구,2024년05월_남자 인구수,2024년05월_여자 인구수,2024년05월_남여 비율,2024년06월_총인구수,2024년06월_세대수,2024년06월_세대당 인구,2024년06월_남자 인구수,2024년06월_여자 인구수,2024년06월_남여 비율,2024년07월_총인구수,2024년07월_세대수,2024년07월_세대당 인구,2024년07월_남자 인구수,2024년07월_여자 인구수,2024년07월_남여 비율,2024년08월_총인구수,2024년08월_세대수,2024년08월_세대당 인구,2024년08월_남자 인구수,2024년08월_여자 인구수,2024년08월_남여 비율,2024년09월_총인구수,2024년09월_세대수,2024년09월_세대당 인구,2024년09월_남자 인구수,2024년09월_여자 인구수,2024년09월_남여 비율,2024년10월_총인구수,2024년10월_세대수,2024년10월_세대당 인구,2024년10월_남자 인구수,2024년10월_여자 인구수,2024년10월_남여 비율,2024년11월_총인구수,2024년11월_세대수,2024년11월_세대당 인구,2024년11월_남자 인구수,2024년11월_여자 인구수,2024년11월_남여 비율,2024년12월_총인구수,2024년12월_세대수,2024년12월_세대당 인구,2024년12월_남자 인구수,2024년12월_여자 인구수,2024년12월_남여 비율,2025년01월_총인구수,2025년01월_세대수,2025년01월_세대당 인구,2025년01월_남자 인구수,2025년01월_여자 인구수,2025년01월_남여 비율
서울특별시  (1100000000),"9,424,873","4,447,861",2.12,"4,567,739","4,857,134",0.94,"9,427,583","4,457,982",2.11,"4,567,957","4,859,626",0.94,"9,426,404","4,463,385",2.11,"4,566,299","4,860,105",0.94,"9,422,710","4,465,391",2.11,"4,563,512","4,859,198",0.94,"9,418,885","4,467,999",2.11,"4,560,702","4,858,183",0.94,"9,414,093","4,469,158",2.11,"4,557,609","4,856,484",0.94,"9,411,260","4,471,174",2.1,"4,555,784","4,855,476",0.94,"9,409,466","4,473,734",2.1,"4,554,020","4,855,446",0.94,"9,407,540","4,475,726",2.1,"4,552,501","4,855,039",0.94,"9,400,249","4,472,603",2.1,"4,548,150","4,852,099",0.94,"9,390,925","4,469,374",2.1,"4,543,055","4,847,870",0.94,"9,386,034","4,469,417",2.1,"4,540,031","4,846,003",0.94,"9,384,325","4,471,017",2.1,"4,538,354","4,845,971",0.94,"9,386,705","4,480,607",2.09,"4,538,306","4,848,399",0.94,"9,384,739","4,485,819",2.09,"4,536,128","4,848,611",0.94,"9,378,269","4,486,137",2.09,"4,532,115","4,846,154",0.94,"9,371,930","4,486,224",2.09,"4,528,234","4,843,696",0.93,"9,366,283","4,486,014",2.09,"4,524,862","4,841,421",0.93,"9,360,400","4,486,857",2.09,"4,521,316","4,839,084",0.93,"9,355,801","4,487,525",2.08,"4,518,536","4,837,265",0.93,"9,350,995","4,487,671",2.08,"4,515,791","4,835,204",0.93,"9,343,304","4,484,218",2.08,"4,511,734","4,831,570",0.93,"9,335,495","4,481,533",2.08,"4,507,664","4,827,831",0.93,"9,331,828","4,482,063",2.08,"4,505,355","4,826,473",0.93,"9,330,658","4,482,949",2.08,"4,504,432","4,826,226",0.93
서울특별시 종로구 (1111000000),"141,223","72,479",1.95,"68,314","72,909",0.94,"141,433","72,773",1.94,"68,399","73,034",0.94,"141,060","72,679",1.94,"68,170","72,890",0.94,"140,891","72,644",1.94,"68,079","72,812",0.93,"140,601","72,584",1.94,"67,923","72,678",0.93,"140,397","72,507",1.94,"67,834","72,563",0.93,"140,206","72,440",1.94,"67,747","72,459",0.93,"140,032","72,381",1.93,"67,682","72,350",0.94,"139,945","72,304",1.94,"67,625","72,320",0.94,"139,606","72,132",1.94,"67,466","72,140",0.94,"139,497","72,060",1.94,"67,393","72,104",0.93,"139,417","72,067",1.93,"67,306","72,111",0.93,"139,378","72,101",1.93,"67,240","72,138",0.93,"139,471","72,294",1.93,"67,266","72,205",0.93,"139,498","72,404",1.93,"67,228","72,270",0.93,"139,432","72,479",1.92,"67,138","72,294",0.93,"139,343","72,475",1.92,"67,105","72,238",0.93,"139,189","72,394",1.92,"67,005","72,184",0.93,"139,093","72,429",1.92,"66,956","72,137",0.93,"138,929","72,377",1.92,"66,851","72,078",0.93,"138,879","72,341",1.92,"66,846","72,033",0.93,"138,760","72,248",1.92,"66,783","71,977",0.93,"138,577","72,230",1.92,"66,673","71,904",0.93,"138,336","72,166",1.92,"66,570","71,766",0.93,"138,208","72,156",1.92,"66,514","71,694",0.93
서울특별시 중구 (1114000000),"120,317","63,123",1.91,"58,443","61,874",0.94,"120,555","63,492",1.9,"58,557","61,998",0.94,"120,963","63,862",1.89,"58,699","62,264",0.94,"121,250","64,081",1.89,"58,806","62,444",0.94,"121,346","64,260",1.89,"58,845","62,501",0.94,"121,441","64,375",1.89,"58,857","62,584",0.94,"121,460","64,465",1.88,"58,899","62,561",0.94,"121,482","64,558",1.88,"58,840","62,642",0.94,"121,405","64,609",1.88,"58,788","62,617",0.94,"121,300","64,590",1.88,"58,720","62,580",0.94,"121,230","64,586",1.88,"58,631","62,599",0.94,"121,312","64,714",1.87,"58,659","62,653",0.94,"121,322","64,758",1.87,"58,651","62,671",0.94,"121,419","64,972",1.87,"58,711","62,708",0.94,"121,602","65,132",1.87,"58,767","62,835",0.94,"121,607","65,225",1.86,"58,737","62,870",0.93,"121,531","65,230",1.86,"58,673","62,858",0.93,"121,475","65,273",1.86,"58,582","62,893",0.93,"121,407","65,338",1.86,"58,546","62,861",0.93,"121,419","65,373",1.86,"58,512","62,907",0.93,"121,324","65,378",1.86,"58,447","62,877",0.93,"121,224","65,316",1.86,"58,405","62,819",0.93,"120,931","65,120",1.86,"58,247","62,684",0.93,"120,544","64,995",1.85,"58,015","62,529",0.93,"120,325","64,933",1.85,"57,948","62,377",0.93
서울특별시 용산구 (1117000000),"218,412","109,734",1.99,"104,974","113,438",0.93,"218,175","109,778",1.99,"104,860","113,315",0.93,"217,756","109,735",1.98,"104,640","113,116",0.93,"217,611","109,712",1.98,"104,580","113,031",0.93,"217,438","109,717",1.98,"104,495","112,943",0.93,"217,288","109,679",1.98,"104,357","112,931",0.92,"217,042","109,674",1.98,"104,221","112,821",0.92,"216,547","109,527",1.98,"103,993","112,554",0.92,"216,152","109,360",1.98,"103,804","112,348",0.92,"215,397","108,907",1.98,"103,398","111,999",0.92,"214,381","108,381",1.98,"102,925","111,456",0.92,"213,151","107,825",1.98,"102,312","110,839",0.92,"212,175","107,328",1.98,"101,793","110,382",0.92,"211,247","106,972",1.97,"101,262","109,985",0.92,"209,849","106,272",1.97,"100,488","109,361",0.92,"207,969","105,240",1.98,"99,566","108,403",0.92,"206,475","104,367",1.98,"98,813","107,662",0.92,"206,061","104,187",1.98,"98,564","107,497",0.92,"205,603","104,057",1.98,"98,357","107,246",0.92,"205,390","103,992",1.98,"98,242","107,148",0.92,"205,145","103,860",1.98,"98,118","107,027",0.92,"204,463","103,504",1.98,"97,840","106,623",0.92,"204,079","103,335",1.97,"97,628","106,451",0.92,"203,854","103,241",1.97,"97,469","106,385",0.92,"203,727","103,204",1.97,"97,392","106,335",0.92
서울특별시 성동구 (1120000000),"280,707","133,293",2.11,"136,442","144,265",0.95,"280,474","133,517",2.1,"136,361","144,113",0.95,"280,240","133,513",2.1,"136,233","144,007",0.95,"279,980","133,503",2.1,"136,059","143,921",0.95,"279,760","133,551",2.09,"135,931","143,829",0.95,"279,374","133,484",2.09,"135,723","143,651",0.94,"279,142","133,464",2.09,"135,562","143,580",0.94,"278,750","133,433",2.09,"135,346","143,404",0.94,"278,366","133,366",2.09,"135,143","143,223",0.94,"278,035","133,253",2.09,"134,979","143,056",0.94,"277,701","133,178",2.09,"134,760","142,941",0.94,"277,361","133,089",2.08,"134,519","142,842",0.94,"277,090","132,985",2.08,"134,390","142,700",0.94,"276,952","133,197",2.08,"134,278","142,674",0.94,"276,964","133,374",2.08,"134,232","142,732",0.94,"276,847","133,297",2.08,"134,161","142,686",0.94,"276,767","133,325",2.08,"134,096","142,671",0.94,"276,597","133,233",2.08,"133,939","142,658",0.94,"276,194","133,102",2.08,"133,758","142,436",0.94,"275,778","132,969",2.07,"133,520","142,258",0.94,"275,403","132,856",2.07,"133,271","142,132",0.94,"274,966","132,615",2.07,"133,097","141,869",0.94,"274,287","132,248",2.07,"132,769","141,518",0.94,"273,669","131,953",2.07,"132,409","141,260",0.94,"273,549","131,857",2.07,"132,354","141,195",0.94
서울특별시 광진구 (1121500000),"337,258","169,416",1.99,"162,460","174,798",0.93,"337,071","169,648",1.99,"162,329","174,742",0.93,"336,801","169,787",1.98,"162,209","174,592",0.93,"336,558","169,725",1.98,"162,071","174,487",0.93,"336,580","169,950",1.98,"162,020","174,560",0.93,"336,169","169,857",1.98,"161,755","174,414",0.93,"336,141","169,935",1.98,"161,729","174,412",0.93,"336,446","170,210",1.98,"161,828","174,618",0.93,"336,604","170,388",1.98,"161,892","174,712",0.93,"336,294","170,271",1.98,"161,662","174,632",0.93,"335,854","170,152",1.97,"161,430","174,424",0.93,"335,554","170,077",1.97,"161,277","174,277",0.93,"335,335","170,093",1.97,"161,154","174,181",0.93,"335,200","170,409",1.97,"161,022","174,178",0.92,"335,105","170,557",1.96,"160,888","174,217",0.92,"334,790","170,588",1.96,"160,670","174,120",0.92,"334,421","170,508",1.96,"160,473","173,948",0.92,"334,159","170,469",1.96,"160,329","173,830",0.92,"333,946","170,439",1.96,"160,153","173,793",0.92,"333,724","170,449",1.96,"160,056","173,668",0.92,"333,403","170,383",1.96,"159,948","173,455",0.92,"332,942","170,233",1.96,"159,732","173,210",0.92,"332,571","170,110",1.96,"159,576","172,995",0.92,"331,963","169,931",1.95,"159,237","172,726",0.92,"331,589","169,878",1.95,"158,992","172,597",0.92
서울특별시 동대문구 (1123000000),"336,415","169,716",1.98,"165,657","170,758",0.97,"337,293","170,766",1.98,"165,962","171,331",0.97,"337,574","171,140",1.97,"165,933","171,641",0.97,"337,692","171,288",1.97,"165,936","171,756",0.97,"337,680","171,388",1.97,"165,868","171,812",0.97,"338,115","171,703",1.97,"166,040","172,075",0.96,"338,657","171,945",1.97,"166,298","172,359",0.96,"340,333","172,680",1.97,"167,083","173,250",0.96,"341,238","173,091",1.97,"167,468","173,770",0.96,"341,521","173,003",1.97,"167,569","173,952",0.96,"341,510","172,934",1.97,"167,556","173,954",0.96,"341,149","172,801",1.97,"167,346","173,803",0.96,"340,983","172,756",1.97,"167,230","173,753",0.96,"341,620","173,590",1.97,"167,462","174,158",0.96,"341,987","174,010",1.97,"167,574","174,413",0.96,"341,981","174,086",1.96,"167,523","174,458",0.96,"341,680","174,045",1.96,"167,318","174,362",0.96,"341,345","173,903",1.96,"167,147","174,198",0.96,"341,086","173,860",1.96,"166,970","174,116",0.96,"340,893","173,942",1.96,"166,825","174,068",0.96,"340,686","173,878",1.96,"166,693","173,993",0.96,"340,299","173,654",1.96,"166,445","173,854",0.96,"339,611","173,296",1.96,"166,095","173,516",0.96,"338,735","172,840",1.96,"165,620","173,115",0.96,"338,822","172,811",1.96,"165,648","173,174",0.96
서울특별시 중랑구 (1126000000),"385,097","187,489",2.05,"189,367","195,730",0.97,"385,129","187,776",2.05,"189,306","195,823",0.97,"385,003","187,898",2.05,"189,186","195,817",0.97,"384,867","187,977",2.05,"189,099","195,768",0.97,"384,650","188,020",2.05,"189,019","195,631",0.97,"384,272","187,981",2.04,"188,744","195,528",0.97,"383,687","187,978",2.04,"188,446","195,241",0.97,"383,072","187,877",2.04,"188,091","194,981",0.96,"382,797","187,900",2.04,"187,844","194,953",0.96,"382,390","187,858",2.04,"187,618","194,772",0.96,"381,858","187,680",2.03,"187,262","194,596",0.96,"382,155","188,097",2.03,"187,372","194,783",0.96,"382,284","188,277",2.03,"187,392","194,892",0.96,"382,322","188,620",2.03,"187,319","195,003",0.96,"381,966","188,653",2.02,"187,102","194,864",0.96,"381,668","188,694",2.02,"186,915","194,753",0.96,"381,498","188,736",2.02,"186,797","194,701",0.96,"381,126","188,664",2.02,"186,600","194,526",0.96,"380,912","188,789",2.02,"186,434","194,478",0.96,"380,612","188,826",2.02,"186,248","194,364",0.96,"380,353","188,803",2.01,"186,052","194,301",0.96,"379,977","188,737",2.01,"185,834","194,143",0.96,"379,541","188,637",2.01,"185,591","193,950",0.96,"379,274","188,651",2.01,"185,473","193,801",0.96,"378,971","188,637",2.01,"185,333","193,638",0.96
서울특별시 성북구 (1129000000),"429,967","196,936",2.18,"206,716","223,251",0.93,"430,170","197,673",2.18,"206,753","223,417",0.93,"430,100","197,859",2.17,"206,634","223,466",0.92,"429,751","197,801",2.17,"206,367","223,384",0.92,"429,689","197,906",2.17,"206,319","223,370",0.92,"429,142","197,831",2.17,"206,043","223,099",0.92,"428,507","197,686",2.17,"205,714","222,793",0.92,"428,122","197,673",2.17,"205,537","222,585",0.92,"427,671","197,607",2.16,"205,245","222,426",0.92,"426,892","197,271",2.16,"204,851","222,041",0.92,"426,276","197,041",2.16,"204,546","221,730",0.92,"425,602","196,800",2.16,"204,171","221,431",0.92,"424,916","196,512",2.16,"203,824","221,092",0.92,"424,853","197,012",2.16,"203,753","221,100",0.92,"424,881","197,445",2.15,"203,700","221,181",0.92,"424,663","197,440",2.15,"203,536","221,127",0.92,"424,315","197,353",2.15,"203,357","220,958",0.92,"424,194","197,371",2.15,"203,323","220,871",0.92,"423,846","197,324",2.15,"203,182","220,664",0.92,"423,742","197,429",2.15,"203,148","220,594",0.92,"423,439","197,414",2.14,"202,975","220,464",0.92,"422,696","196,991",2.15,"202,624","220,072",0.92,"422,141","196,744",2.15,"202,309","219,832",0.92,"421,560","196,485",2.15,"202,003","219,557",0.92,"420,710","196,178",2.14,"201,577","219,133",0.92
서울특별시 강북구 (1130500000),"293,313","144,275",2.03,"142,435","150,878",0.94,"293,119","144,506",2.03,"142,254","150,865",0.94,"292,762","144,557",2.03,"142,028","150,734",0.94,"292,383","144,559",2.02,"141,837","150,546",0.94,"291,959","144,577",2.02,"141,577","150,382",0.94,"291,384","144,447",2.02,"141,302","150,082",0.94,"291,025","144,427",2.02,"141,112","149,913",0.94,"290,583","144,345",2.01,"140,828","149,755",0.94,"290,155","144,269",2.01,"140,589","149,566",0.94,"289,372","143,963",2.01,"140,185","149,187",0.94,"288,735","143,796",2.01,"139,850","148,885",0.94,"288,113","143,560",2.01,"139,514","148,599",0.94,"287,490","143,411",2,"139,141","148,349",0.94,"287,040","143,405",2,"138,846","148,194",0.94,"286,400","143,338",2,"138,474","147,926",0.94,"285,880","143,238",2,"138,198","147,682",0.94,"285,532","143,175",1.99,"138,021","147,511",0.94,"285,054","143,075",1.99,"137,733","147,321",0.93,"284,579","143,059",1.99,"137,469","147,110",0.93,"284,193","143,027",1.99,"137,212","146,981",0.93,"284,313","143,163",1.99,"137,246","147,067",0.93,"284,255","143,204",1.98,"137,168","147,087",0.93,"283,934","143,105",1.98,"136,992","146,942",0.93,"283,597","143,063",1.98,"136,789","146,808",0.93,"283,293","143,035",1.98,"136,674","146,619",0.93
서울특별시 도봉구 (1132000000),"311,260","138,331",2.25,"151,168","160,092",0.94,"310,853","138,384",2.25,"150,964","159,889",0.94,"310,509","138,376",2.24,"150,806","159,703",0.94,"310,023","138,314",2.24,"150,535","159,488",0.94,"309,622","138,289",2.24,"150,317","159,305",0.94,"308,986","138,188",2.24,"150,001","158,985",0.94,"308,447","138,069",2.23,"149,718","158,729",0.94,"307,968","138,102",2.23,"149,408","158,560",0.94,"307,740","138,210",2.23,"149,281","158,459",0.94,"307,470","138,223",2.22,"149,132","158,338",0.94,"307,070","138,161",2.22,"148,907","158,163",0.94,"306,948","138,261",2.22,"148,796","158,152",0.94,"306,722","138,373",2.22,"148,670","158,052",0.94,"306,542","138,626",2.21,"148,545","157,997",0.94,"306,346","138,756",2.21,"148,366","157,980",0.94,"306,057","138,829",2.2,"148,216","157,841",0.94,"305,658","138,790",2.2,"147,971","157,687",0.94,"305,400","138,849",2.2,"147,847","157,553",0.94,"305,091","138,902",2.2,"147,675","157,416",0.94,"304,641","138,846",2.19,"147,473","157,168",0.94,"304,255","138,862",2.19,"147,261","156,994",0.94,"303,925","138,795",2.19,"147,082","156,843",0.94,"303,468","138,759",2.19,"146,848","156,620",0.94,"303,228","138,759",2.19,"146,696","156,532",0.94,"303,057","138,769",2.18,"146,548","156,509",0.94
서울특별시 노원구 (1135000000),"502,835","217,160",2.32,"241,694","261,141",0.93,"502,820","217,926",2.31,"241,743","261,077",0.93,"502,515","218,341",2.3,"241,532","260,983",0.93,"501,838","218,262",2.3,"241,168","260,670",0.93,"501,237","218,187",2.3,"240,844","260,393",0.92,"500,104","217,858",2.3,"240,221","259,883",0.92,"500,094","218,003",2.29,"240,150","259,944",0.92,"499,908","218,087",2.29,"240,063","259,845",0.92,"499,989","218,367",2.29,"240,084","259,905",0.92,"499,553","218,280",2.29,"239,787","259,766",0.92,"498,976","218,106",2.29,"239,508","259,468",0.92,"498,213","217,904",2.29,"239,117","259,096",0.92,"497,237","217,446",2.29,"238,609","258,628",0.92,"497,097","218,042",2.28,"238,504","258,593",0.92,"497,064","218,665",2.27,"238,492","258,572",0.92,"496,406","218,585",2.27,"238,110","258,296",0.92,"495,847","218,529",2.27,"237,794","258,053",0.92,"495,183","218,369",2.27,"237,415","257,768",0.92,"494,451","218,265",2.27,"237,042","257,409",0.92,"493,880","218,179",2.26,"236,727","257,153",0.92,"493,486","218,362",2.26,"236,548","256,938",0.92,"492,544","218,074",2.26,"236,091","256,453",0.92,"492,072","217,971",2.26,"235,878","256,194",0.92,"491,247","217,743",2.26,"235,464","255,783",0.92,"490,307","217,328",2.26,"234,936","255,371",0.92
