행정구역,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,2024년03월_총인구수,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율,2024년04월_총인구수,2024년04월_세대수,2024년04월_세대당 인구,2024년04월_남자 인구수,2024년04월_여자 인구수,2024년04월_남여 비율,2024년05월_총인구수,2024년05월_세대수,2024년05월_세대당 인구,2024년05월_남자 인구수,2024년05월_여자 인구수,2024년05월_남여 비율,2024년06월_총인구수,2024년06월_세대수,2024년06월_세대당 인구,2024년06월_남자 인구수,2024년06월_여자 인구수,2024년06월_남여 비율,2024년07월_총인구수,2024년07월_세대수,2024년07월_세대당 인구,2024년07월_남자 인구수,2024년07월_여자 인구수,2024년07월_남여 비율,2024년08월_총인구수,2024년08월_세대수,2024년08월_세대당 인구,2024년08월_남자 인구수,2024년08월_여자 인구수,2024년08월_남여 비율,2024년09월_총인구수,2024년09월_세대수,2024년09월_세대당 인구,2024년09월_남자 인구수,2024년09월_여자 인구수,2024년09월_남여 비율,2024년10월_총인구수,2024년10월_세대수,2024년10월_세대당 인구,2024년10월_남자 인구수,2024년10월_여자 인구수,2024년10월_남여 비율,2024년11월_총인구수,2024년11월_세대수,2024년11월_세대당 인구,2024년11월_남자 인구수,2024년11월_여자 인구수,2024년11월_남여 비율,2024년12월_총인구수,2024년12월_세대수,2024년12월_세대당 인구,2024년12월_남자 인구수,2024년12월_여자 인구수,2024년12월_남여 비율,2025년01월_총인구수,2025년01월_세대수,2025년01월_세대당 인구,2025년01월_남자 인구수,2025년01월_여자 인구수,2025년01월_남여 비율
서울특별시 은평구 (1138000000),"466,237","213,924",2.18,"222,263","243,974",0.91,"465,627","214,070",2.18,"221,790","243,837",0.91,"464,871","213,989",2.17,"221,350","243,521",0.91,"464,217","213,907",2.17,"220,904","243,313",0.91,"463,612","213,830",2.17,"220,559","243,053",0.91,"463,298","213,827",2.17,"220,342","242,956",0.91,"463,702","214,175",2.17,"220,452","243,250",0.91,"465,977","215,200",2.17,"221,459","244,518",0.91,"467,098","215,776",2.16,"221,977","245,121",0.91,"467,124","215,694",2.17,"221,903","245,221",0.9,"466,968","215,700",2.16,"221,801","245,167",0.9,"466,770","215,721",2.16,"221,725","245,045",0.9,"466,474","215,799",2.16,"221,484","244,990",0.9,"466,061","216,075",2.16,"221,201","244,860",0.9,"466,007","216,340",2.15,"221,117","244,890",0.9,"465,660","216,381",2.15,"220,905","244,755",0.9,"465,307","216,412",2.15,"220,684","244,623",0.9,"464,738","216,345",2.15,"220,328","244,410",0.9,"464,004","216,249",2.15,"219,908","244,096",0.9,"463,274","216,023",2.14,"219,475","243,799",0.9,"462,514","215,784",2.14,"219,045","243,469",0.9,"461,788","215,485",2.14,"218,678","243,110",0.9,"461,086","215,203",2.14,"218,310","242,776",0.9,"460,919","215,305",2.14,"218,214","242,705",0.9,"460,738","215,398",2.14,"218,101","242,637",0.9
서울특별시 서대문구 (1141000000),"307,277","146,183",2.1,"146,294","160,983",0.91,"308,194","146,908",2.1,"146,671","161,523",0.91,"308,437","147,146",2.1,"146,732","161,705",0.91,"308,338","147,183",2.09,"146,684","161,654",0.91,"308,208","147,197",2.09,"146,572","161,636",0.91,"308,122","147,226",2.09,"146,570","161,552",0.91,"307,870","147,184",2.09,"146,409","161,461",0.91,"307,672","147,271",2.09,"146,292","161,380",0.91,"307,441","147,333",2.09,"146,119","161,322",0.91,"306,927","147,074",2.09,"145,820","161,107",0.91,"306,594","146,938",2.09,"145,615","160,979",0.9,"306,231","146,845",2.09,"145,404","160,827",0.9,"305,857","146,787",2.08,"145,212","160,645",0.9,"305,909","147,225",2.08,"145,181","160,728",0.9,"305,986","147,467",2.07,"145,110","160,876",0.9,"306,001","147,508",2.07,"145,109","160,892",0.9,"305,695","147,475",2.07,"144,886","160,809",0.9,"305,369","147,312",2.07,"144,660","160,709",0.9,"305,056","147,262",2.07,"144,503","160,553",0.9,"304,781","147,166",2.07,"144,413","160,368",0.9,"304,523","147,107",2.07,"144,288","160,235",0.9,"303,912","146,735",2.07,"143,979","159,933",0.9,"303,453","146,502",2.07,"143,714","159,739",0.9,"302,853","146,221",2.07,"143,412","159,441",0.9,"302,297","145,914",2.07,"143,239","159,058",0.9
서울특별시 마포구 (1144000000),"364,938","180,302",2.02,"171,114","193,824",0.88,"365,447","180,807",2.02,"171,284","194,163",0.88,"365,570","181,034",2.02,"171,215","194,355",0.88,"365,287","180,976",2.02,"171,058","194,229",0.88,"365,283","181,093",2.02,"170,922","194,361",0.88,"365,111","181,097",2.02,"170,813","194,298",0.88,"364,978","181,163",2.01,"170,734","194,244",0.88,"364,573","181,177",2.01,"170,455","194,118",0.88,"364,257","181,192",2.01,"170,296","193,961",0.88,"363,953","181,052",2.01,"170,141","193,812",0.88,"363,862","181,058",2.01,"170,111","193,751",0.88,"363,697","181,090",2.01,"169,990","193,707",0.88,"363,679","181,156",2.01,"169,882","193,797",0.88,"363,615","181,532",2,"169,828","193,787",0.88,"363,645","181,745",2,"169,745","193,900",0.88,"363,449","181,710",2,"169,555","193,894",0.87,"363,168","181,641",2,"169,399","193,769",0.87,"363,029","181,651",2,"169,292","193,737",0.87,"362,983","181,755",2,"169,199","193,784",0.87,"362,819","181,745",2,"169,088","193,731",0.87,"362,564","181,686",2,"168,948","193,616",0.87,"362,006","181,434",2,"168,652","193,354",0.87,"361,841","181,281",2,"168,544","193,297",0.87,"361,417","181,135",2,"168,356","193,061",0.87,"360,981","180,980",1.99,"168,088","192,893",0.87
서울특별시 양천구 (1147000000),"440,631","181,189",2.43,"215,557","225,074",0.96,"440,042","181,177",2.43,"215,195","224,847",0.96,"439,219","181,072",2.43,"214,703","224,516",0.96,"438,848","181,057",2.42,"214,455","224,393",0.96,"438,641","181,169",2.42,"214,331","224,310",0.96,"438,353","181,210",2.42,"214,173","224,180",0.96,"438,125","181,264",2.42,"213,992","224,133",0.95,"437,665","181,139",2.42,"213,802","223,863",0.96,"437,401","181,072",2.42,"213,648","223,753",0.95,"437,199","181,038",2.41,"213,482","223,717",0.95,"436,475","180,794",2.41,"213,092","223,383",0.95,"436,028","180,695",2.41,"212,835","223,193",0.95,"435,548","180,615",2.41,"212,547","223,001",0.95,"435,278","180,685",2.41,"212,392","222,886",0.95,"434,528","180,619",2.41,"212,015","222,513",0.95,"433,975","180,585",2.4,"211,634","222,341",0.95,"433,594","180,672",2.4,"211,399","222,195",0.95,"433,307","180,679",2.4,"211,254","222,053",0.95,"432,975","180,617",2.4,"211,102","221,873",0.95,"432,740","180,629",2.4,"210,980","221,760",0.95,"432,523","180,600",2.39,"210,874","221,649",0.95,"432,169","180,500",2.39,"210,762","221,407",0.95,"431,623","180,315",2.39,"210,547","221,076",0.95,"430,976","180,209",2.39,"210,199","220,777",0.95,"430,618","180,118",2.39,"209,958","220,660",0.95
서울특별시 강서구 (1150000000),"568,805","273,804",2.08,"272,926","295,879",0.92,"568,666","274,186",2.07,"272,826","295,840",0.92,"568,287","274,283",2.07,"272,693","295,594",0.92,"567,883","274,428",2.07,"272,404","295,479",0.92,"567,237","274,425",2.07,"272,061","295,176",0.92,"566,839","274,521",2.06,"271,822","295,017",0.92,"566,333","274,601",2.06,"271,536","294,797",0.92,"565,195","274,426",2.06,"270,918","294,277",0.92,"564,339","274,249",2.06,"270,491","293,848",0.92,"563,663","274,032",2.06,"270,136","293,527",0.92,"563,575","274,100",2.06,"270,108","293,467",0.92,"563,058","274,084",2.05,"269,822","293,236",0.92,"562,550","274,034",2.05,"269,623","292,927",0.92,"562,067","274,285",2.05,"269,286","292,781",0.92,"561,386","274,326",2.05,"268,922","292,464",0.92,"560,679","274,226",2.04,"268,551","292,128",0.92,"560,097","274,205",2.04,"268,280","291,817",0.92,"559,335","274,010",2.04,"267,927","291,408",0.92,"558,637","273,897",2.04,"267,547","291,090",0.92,"557,998","273,913",2.04,"267,204","290,794",0.92,"557,662","274,044",2.03,"267,019","290,643",0.92,"557,655","274,222",2.03,"267,015","290,640",0.92,"557,095","274,062",2.03,"266,725","290,370",0.92,"556,171","273,911",2.03,"266,237","289,934",0.92,"555,518","273,773",2.03,"265,867","289,651",0.92
서울특별시 구로구 (1153000000),"395,461","183,910",2.15,"194,304","201,157",0.97,"395,422","184,142",2.15,"194,182","201,240",0.96,"395,183","184,268",2.14,"194,039","201,144",0.96,"395,099","184,388",2.14,"193,938","201,161",0.96,"394,973","184,498",2.14,"193,810","201,163",0.96,"394,833","184,546",2.14,"193,729","201,104",0.96,"394,746","184,616",2.14,"193,696","201,050",0.96,"394,363","184,484",2.14,"193,517","200,846",0.96,"393,929","184,467",2.14,"193,258","200,671",0.96,"393,459","184,272",2.14,"192,957","200,502",0.96,"392,967","184,188",2.13,"192,669","200,298",0.96,"392,405","184,096",2.13,"192,341","200,064",0.96,"392,311","184,161",2.13,"192,252","200,059",0.96,"391,671","184,226",2.13,"191,937","199,734",0.96,"391,387","184,333",2.12,"191,789","199,598",0.96,"390,952","184,234",2.12,"191,538","199,414",0.96,"390,520","184,156",2.12,"191,355","199,165",0.96,"390,169","184,097",2.12,"191,177","198,992",0.96,"389,869","184,076",2.12,"190,917","198,952",0.96,"389,561","184,064",2.12,"190,726","198,835",0.96,"389,416","184,161",2.11,"190,695","198,721",0.96,"388,823","183,958",2.11,"190,367","198,456",0.96,"388,488","183,917",2.11,"190,209","198,279",0.96,"388,169","183,891",2.11,"189,991","198,178",0.96,"387,510","183,840",2.11,"189,651","197,859",0.96
서울특별시 금천구 (1154500000),"229,499","119,672",1.92,"115,743","113,756",1.02,"229,395","119,830",1.91,"115,635","113,760",1.02,"229,307","120,051",1.91,"115,624","113,683",1.02,"229,328","120,274",1.91,"115,578","113,750",1.02,"229,251","120,423",1.9,"115,453","113,798",1.01,"229,235","120,578",1.9,"115,396","113,839",1.01,"229,086","120,628",1.9,"115,339","113,747",1.01,"228,858","120,696",1.9,"115,190","113,668",1.01,"228,611","120,650",1.89,"115,038","113,573",1.01,"228,274","120,555",1.89,"114,845","113,429",1.01,"227,701","120,312",1.89,"114,552","113,149",1.01,"227,481","120,381",1.89,"114,414","113,067",1.01,"227,457","120,610",1.89,"114,471","112,986",1.01,"227,268","120,822",1.88,"114,348","112,920",1.01,"227,160","120,985",1.88,"114,278","112,882",1.01,"226,955","121,117",1.87,"114,184","112,771",1.01,"226,811","121,188",1.87,"114,086","112,725",1.01,"226,672","121,223",1.87,"114,031","112,641",1.01,"226,526","121,238",1.87,"113,920","112,606",1.01,"226,290","121,251",1.87,"113,763","112,527",1.01,"226,003","121,224",1.86,"113,632","112,371",1.01,"225,758","121,168",1.86,"113,495","112,263",1.01,"225,371","121,056",1.86,"113,304","112,067",1.01,"225,159","121,075",1.86,"113,211","111,948",1.01,"224,924","121,026",1.86,"113,054","111,870",1.01
서울특별시 영등포구 (1156000000),"376,141","189,396",1.99,"184,840","191,301",0.97,"376,410","189,857",1.98,"184,956","191,454",0.97,"376,614","190,252",1.98,"184,973","191,641",0.97,"376,423","190,393",1.98,"184,827","191,596",0.96,"376,347","190,437",1.98,"184,761","191,586",0.96,"376,139","190,482",1.97,"184,615","191,524",0.96,"375,997","190,531",1.97,"184,522","191,475",0.96,"375,526","190,508",1.97,"184,189","191,337",0.96,"375,586","190,761",1.97,"184,175","191,411",0.96,"375,276","190,702",1.97,"184,010","191,266",0.96,"374,920","190,604",1.97,"183,803","191,117",0.96,"374,794","190,737",1.96,"183,726","191,068",0.96,"374,985","191,005",1.96,"183,769","191,216",0.96,"374,968","191,437",1.96,"183,591","191,377",0.96,"375,148","191,709",1.96,"183,680","191,468",0.96,"375,090","191,856",1.96,"183,600","191,490",0.96,"375,109","191,913",1.95,"183,547","191,562",0.96,"375,040","192,064",1.95,"183,512","191,528",0.96,"374,961","192,168",1.95,"183,422","191,539",0.96,"374,735","192,178",1.95,"183,246","191,489",0.96,"374,653","192,189",1.95,"183,189","191,464",0.96,"374,141","191,983",1.95,"183,001","191,140",0.96,"374,201","192,241",1.95,"183,006","191,195",0.96,"373,773","192,199",1.94,"182,802","190,971",0.96,"373,307","192,170",1.94,"182,615","190,692",0.96
서울특별시 동작구 (1159000000),"379,979","185,659",2.05,"183,746","196,233",0.94,"379,622","186,053",2.04,"183,606","196,016",0.94,"380,201","186,534",2.04,"183,900","196,301",0.94,"380,385","186,730",2.04,"184,072","196,313",0.94,"380,594","186,980",2.04,"184,116","196,478",0.94,"380,622","187,058",2.03,"184,103","196,519",0.94,"380,562","187,112",2.03,"184,127","196,435",0.94,"380,478","187,178",2.03,"184,062","196,416",0.94,"380,154","187,199",2.03,"183,880","196,274",0.94,"379,640","186,990",2.03,"183,620","196,020",0.94,"379,186","186,818",2.03,"183,420","195,766",0.94,"378,769","186,675",2.03,"183,153","195,616",0.94,"378,360","186,473",2.03,"182,934","195,426",0.94,"378,283","186,971",2.02,"182,915","195,368",0.94,"378,649","187,417",2.02,"183,036","195,613",0.94,"378,871","187,734",2.02,"183,129","195,742",0.94,"378,552","187,712",2.02,"183,015","195,537",0.94,"378,324","187,662",2.02,"182,931","195,393",0.94,"377,945","187,629",2.01,"182,646","195,299",0.94,"377,426","187,497",2.01,"182,333","195,093",0.93,"377,137","187,461",2.01,"182,205","194,932",0.93,"376,726","187,330",2.01,"181,979","194,747",0.93,"376,440","187,193",2.01,"181,886","194,554",0.93,"375,799","186,950",2.01,"181,576","194,223",0.93,"375,456","186,838",2.01,"181,356","194,100",0.93
서울특별시 관악구 (1162000000),"486,863","284,025",1.71,"244,740","242,123",1.01,"487,430","285,206",1.71,"245,125","242,305",1.01,"487,815","285,914",1.71,"245,376","242,439",1.01,"487,641","286,127",1.7,"245,231","242,410",1.01,"487,462","286,538",1.7,"245,217","242,245",1.01,"487,192","286,647",1.7,"245,081","242,111",1.01,"486,633","286,569",1.7,"244,793","241,840",1.01,"485,994","286,379",1.7,"244,539","241,455",1.01,"485,172","286,045",1.7,"244,198","240,974",1.01,"483,959","285,450",1.7,"243,673","240,286",1.01,"482,692","284,786",1.69,"242,985","239,707",1.01,"481,956","284,578",1.69,"242,651","239,305",1.01,"481,872","284,877",1.69,"242,598","239,274",1.01,"481,834","285,607",1.69,"242,703","239,131",1.01,"481,958","286,257",1.68,"242,765","239,193",1.01,"481,722","286,396",1.68,"242,633","239,089",1.01,"481,432","286,401",1.68,"242,426","239,006",1.01,"481,145","286,338",1.68,"242,251","238,894",1.01,"480,627","286,403",1.68,"242,010","238,617",1.01,"480,225","286,408",1.68,"241,852","238,373",1.01,"479,774","286,376",1.68,"241,605","238,169",1.01,"478,894","286,029",1.67,"241,128","237,766",1.01,"478,167","285,766",1.67,"240,716","237,451",1.01,"477,812","285,963",1.67,"240,457","237,355",1.01,"477,940","286,279",1.67,"240,565","237,375",1.01
서울특별시 서초구 (1165000000),"404,594","167,876",2.41,"193,221","211,373",0.91,"405,126","168,173",2.41,"193,397","211,729",0.91,"404,831","168,234",2.41,"193,158","211,673",0.91,"404,539","168,238",2.4,"192,932","211,607",0.91,"404,436","168,344",2.4,"192,875","211,561",0.91,"404,484","168,590",2.4,"192,850","211,634",0.91,"404,731","168,844",2.4,"192,945","211,786",0.91,"404,616","168,924",2.4,"192,847","211,769",0.91,"406,404","169,621",2.4,"193,703","212,701",0.91,"407,788","170,040",2.4,"194,384","213,404",0.91,"408,098","170,059",2.4,"194,526","213,572",0.91,"407,664","169,884",2.4,"194,291","213,373",0.91,"407,768","170,015",2.4,"194,231","213,537",0.91,"407,996","170,285",2.4,"194,232","213,764",0.91,"407,840","170,382",2.39,"194,116","213,724",0.91,"407,596","170,348",2.39,"193,966","213,630",0.91,"407,299","170,366",2.39,"193,802","213,497",0.91,"407,404","170,464",2.39,"193,838","213,566",0.91,"407,616","170,606",2.39,"193,937","213,679",0.91,"407,858","170,806",2.39,"194,011","213,847",0.91,"408,060","170,839",2.39,"194,085","213,975",0.91,"408,576","170,868",2.39,"194,274","214,302",0.91,"408,382","170,710",2.39,"194,172","214,210",0.91,"408,376","170,681",2.39,"194,153","214,223",0.91,"408,324","170,701",2.39,"194,124","214,200",0.91
서울특별시 강남구 (1168000000),"528,899","232,732",2.27,"252,977","275,922",0.92,"529,962","233,325",2.27,"253,498","276,464",0.92,"532,798","234,735",2.27,"254,811","277,987",0.92,"534,646","235,708",2.27,"255,637","279,009",0.92,"535,744","236,296",2.27,"256,095","279,649",0.92,"537,139","236,935",2.27,"256,737","280,402",0.92,"538,872","237,646",2.27,"257,631","281,241",0.92,"540,730","238,500",2.27,"258,464","282,266",0.92,"540,957","238,647",2.27,"258,656","282,301",0.92,"541,565","238,712",2.27,"258,897","282,668",0.92,"541,130","238,463",2.27,"258,700","282,430",0.92,"544,873","239,775",2.27,"260,520","284,353",0.92,"549,154","241,315",2.28,"262,618","286,536",0.92,"553,555","243,061",2.28,"264,695","288,860",0.92,"554,280","243,510",2.28,"265,082","289,198",0.92,"554,651","243,741",2.28,"265,347","289,304",0.92,"555,932","244,572",2.27,"265,807","290,125",0.92,"556,570","245,046",2.27,"266,101","290,469",0.92,"557,151","245,344",2.27,"266,448","290,703",0.92,"558,312","245,932",2.27,"267,035","291,277",0.92,"558,508","246,005",2.27,"267,096","291,412",0.92,"558,655","245,910",2.27,"267,129","291,526",0.92,"557,942","245,447",2.27,"266,731","291,211",0.92,"557,345","245,094",2.27,"266,412","290,933",0.92,"557,115","244,962",2.27,"266,239","290,876",0.92
서울특별시 송파구 (1171000000),"658,604","284,928",2.31,"317,063","341,541",0.93,"658,868","285,420",2.31,"317,024","341,844",0.93,"658,006","285,489",2.3,"316,564","341,442",0.93,"657,665","285,493",2.3,"316,356","341,309",0.93,"657,260","285,615",2.3,"316,082","341,178",0.93,"657,101","285,798",2.3,"316,010","341,091",0.93,"656,603","285,951",2.3,"315,715","340,888",0.93,"656,176","286,095",2.29,"315,487","340,689",0.93,"655,744","286,123",2.29,"315,224","340,520",0.93,"655,300","286,018",2.29,"314,985","340,315",0.93,"654,845","286,016",2.29,"314,665","340,180",0.92,"654,166","285,927",2.29,"314,347","339,819",0.93,"653,989","286,180",2.29,"314,189","339,800",0.92,"653,922","286,651",2.28,"314,043","339,879",0.92,"653,736","287,052",2.28,"313,887","339,849",0.92,"653,447","287,220",2.28,"313,669","339,778",0.92,"653,128","287,320",2.27,"313,474","339,654",0.92,"652,752","287,380",2.27,"313,205","339,547",0.92,"652,292","287,418",2.27,"312,916","339,376",0.92,"651,746","287,265",2.27,"312,613","339,133",0.92,"651,882","287,511",2.27,"312,684","339,198",0.92,"652,343","287,537",2.27,"312,804","339,539",0.92,"651,910","287,435",2.27,"312,616","339,294",0.92,"650,110","287,017",2.27,"311,728","338,382",0.92,"649,071","286,796",2.26,"311,160","337,911",0.92
서울특별시 강동구 (1174000000),"460,141","202,309",2.27,"225,281","234,860",0.96,"460,280","202,589",2.27,"225,280","235,000",0.96,"459,982","202,637",2.27,"225,091","234,891",0.96,"459,567","202,623",2.27,"224,899","234,668",0.96,"459,275","202,725",2.27,"224,690","234,585",0.96,"458,953","202,733",2.26,"224,491","234,462",0.96,"458,614","202,804",2.26,"224,297","234,317",0.96,"458,400","202,884",2.26,"224,100","234,300",0.96,"458,385","203,120",2.26,"224,075","234,310",0.96,"458,292","203,223",2.26,"223,930","234,362",0.96,"458,824","203,463",2.26,"224,240","234,584",0.96,"459,167","203,734",2.25,"224,423","234,744",0.96,"459,389","203,950",2.25,"224,450","234,939",0.96,"460,515","204,606",2.25,"224,986","235,529",0.96,"461,367","205,071",2.25,"225,275","236,092",0.95,"461,921","205,380",2.25,"225,525","236,396",0.95,"462,219","205,658",2.25,"225,656","236,563",0.95,"462,646","205,956",2.25,"225,871","236,775",0.95,"463,550","206,631",2.24,"226,299","237,251",0.95,"464,835","207,239",2.24,"226,983","237,852",0.95,"465,090","207,384",2.24,"227,021","238,069",0.95,"465,807","207,688",2.24,"227,370","238,437",0.95,"468,284","208,850",2.24,"228,578","239,706",0.95,"476,942","212,585",2.24,"232,862","244,080",0.95,"484,301","215,368",2.25,"236,499","247,802",0.95
